
filename,"10.1021Je800900a.Isotherm31"
17,"0.00143763","1","0.311633","0.311633"
18,"0.00170978","1","0.340236","0.340236"
19,"0.00203346","1","0.399664","0.399664"
20,"0.00247139","1","0.405556","0.405556"
21,"0.00293924","1","0.442778","0.442778"
22,"0.00349566","1","0.483417","0.483417"
23,"0.00415742","1","0.527786","0.527786"
24,"0.00494445","1","0.551474","0.551474"
25,"0.00563103","1","0.602089","0.602089"
26,"0.00669703","1","0.65735","0.65735"
27,"0.00813932","1","0.707255","0.707255"
28,"0.00968016","1","0.772168","0.772168"
29,"0.0115127","1","0.795104","0.795104"
30,"0.0128302","1","0.868079","0.868079"
31,"0.0155934","1","0.933983","0.933983"
32,"0.0185453","1","1.00489","1.00489"
33,"0.0225393","1","1.08118","1.08118"
34,"0.0279936","1","1.11329","1.11329"
35,"0.0311974","1","1.21547","1.21547"
36,"0.0379161","1","1.30775","1.30775"
37,"0.0450939","1","1.40704","1.40704"
38,"0.0548055","1","1.49186","1.49186"
39,"0.0637832","1","1.60512","1.60512"
40,"0.0775197","1","1.67717","1.67717"
41,"0.0942146","1","1.8045","1.8045"
42,"0.107298","1","1.97012","1.97012"
43,"0.127609","1","1.99916","1.99916"
44,"0.155092","1","2.08889","2.08889"
45,"0.192624","1","2.21482","2.21482"
46,"0.244478","1","2.34835","2.34835"
47,"0.297126","1","2.52663","2.52663"
48,"0.361119","1","2.67896","2.67896"
49,"0.438884","1","2.7992","2.7992"
50,"0.545092","1","2.96796","2.96796"
51,"0.662491","1","3.10117","3.10117"
52,"0.805156","1","3.28813","3.28813"
