
filename,"10.1021Je800900a.Isotherm41"
22,"0.00614094","1","0.0822716","0.0822716"
23,"0.00730347","1","0.0898235","0.0898235"
24,"0.00849986","1","0.0980686","0.0980686"
25,"0.0101089","1","0.107068","0.107068"
26,"0.0120226","1","0.118619","0.118619"
27,"0.0142986","1","0.129505","0.129505"
28,"0.0170054","1","0.139337","0.139337"
29,"0.0235378","1","0.166088","0.166088"
30,"0.0279936","1","0.181332","0.181332"
31,"0.033293","1","0.197975","0.197975"
32,"0.0363078","1","0.213005","0.213005"
33,"0.0431811","1","0.225847","0.225847"
34,"0.0513556","1","0.246575","0.246575"
35,"0.0560061","1","0.265295","0.265295"
36,"0.0666084","1","0.277202","0.277202"
37,"0.079218","1","0.302644","0.302644"
38,"0.0942146","1","0.325621","0.325621"
39,"0.11205","1","0.350342","0.350342"
40,"0.133263","1","0.382496","0.382496"
41,"0.161961","1","0.411535","0.411535"
42,"0.196843","1","0.442778","0.442778"
43,"0.234105","1","0.476394","0.476394"
44,"0.284525","1","0.512562","0.512562"
45,"0.338384","1","0.559604","0.559604"
46,"0.411263","1","0.593342","0.593342"
47,"0.489114","1","0.638388","0.638388"
48,"0.594456","1","0.686853","0.686853"
49,"0.72247","1","0.738999","0.738999"
50,"0.878072","1","0.795104","0.795104"
